,Unnamed: 0,Nama,Lembaga,Unit Kerja,Jabatan,Tanggal Lapor,Jenis Lapor,Kekayaan
250,250,SUSAN ANANTI,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,KEPALA SUBBAGIAN EVALUASI DAN PELAPORAN,31 Desember 2019,Periodik,1841232226
251,251,DWI YUDIANTARI,PEMERINTAH PROVINSI JAWA TENGAH,INSPEKTORAT DAERAH,AUDITOR,6 Juli 2020,"Khusus, Awal Menjabat",243000000
252,252,SUMINARSINAH,PEMERINTAH PROVINSI JAWA TIMUR,SEKRETARIAT DAERAH,PENGELOLA PENGADAAN BARANG/JASA,31 Desember 2019,"Khusus, Awal Menjabat",849899113
253,253,DHINI ASTARINI,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,DIREKTORAT JENDERAL CIPTA KARYA,BENDAHARA,20 Mei 2020,"Khusus, Awal Menjabat",331150000
254,254,NUR MUSLIMAH,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH D.I. YOGYAKARTA,KAURKEU SPN SELOPAMIORO,31 Desember 2019,Periodik,665267615
255,255,EKO HARIYATNO,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KEPALA SEKSI KERJA SAMA DAN HUBUNGAN MASYARAKAT,31 Desember 2019,Periodik,999629666
256,256,ARIYANTI LUHUR TRI SETYARINI,PEMERINTAH DAERAH D.I. YOGYAKARTA,PANIRADYA KAISTIMEWAN,KEPALA BAGIAN,31 Desember 2019,Periodik,125375932
257,257,SUKCI HIRAWATI,BADAN PEMERIKSA KEUANGAN (BPK-RI),AUDITORAT UTAMA KEUANGAN NEGARA IV,PEMERIKSA MADYA,31 Desember 2019,Periodik,791283570
258,258,NOOR HARSYA ARYO S,BADAN PENGAWAS PEMILIHAN UMUM,BADAN PENGAWAS PEMILIHAN UMUM PROVINSI D.I. YOGYAKARTA,ANGGOTA,31 Desember 2019,"Khusus, Awal Menjabat",2012000000
259,259,MEDDY YOGASTORO,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN UDARA,FLIGHT OPERATION INSPECTOR (FOI),31 Desember 2019,Periodik,1485500000
260,260,MOCHAMAD HERY SALUGU,"KEMENTERIAN DESA, PEMBANGUNAN DAERAH TERTINGGAL DAN TRANSMIGRASI","BADAN PENELITIAN DAN PENGEMBANGAN, PENDIDIKAN DAN PELATIHAN, DAN INFORMASI",KEPALA BAGIAN TATA USAHA,31 Desember 2019,Periodik,60230970
261,261,VIDYA HAYUNINGTYAS,BADAN PUSAT STATISTIK (BPS),BADAN PUSAT STATISTIK PROVINSI DI YOGYAKARTA,PEJABAT PENGADAAN BARANG DAN JASA (PPBJ),31 Desember 2019,"Khusus, Awal Menjabat",229500000
262,262,R. M. PRAMUTOMO,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,INSTITUT SENI INDONESIA SURAKARTA,WAKIL REKTOR III,31 Desember 2019,Periodik,1741030996
263,263,IKA OCTAVIANI ARTA,PEMERINTAH KABUPATEN BANTUL,DINAS KESEHATAN,PEJABAT PELAKSANA TEKNIS KEGIATAN,31 Desember 2019,"Khusus, Awal Menjabat",84000000
264,264,ROSNITA IRAWATI,PEMERINTAH KABUPATEN BANTUL,DINAS LINGKUNGAN HIDUP,KEPALA UNIT,31 Desember 2019,"Khusus, Awal Menjabat",11468000
265,265,RINI MAYANGSARI,BADAN PEMERIKSA KEUANGAN (BPK-RI),BADAN PEMERIKSA KEUANGAN (BPK-RI) PERWAKILAN PROVINSI JAWA TIMUR,PEMERIKSA PERTAMA,31 Desember 2019,"Khusus, Calon PN",185759326
266,266,FREDDY ROESTHODY HENDRAWAN,KEJAKSAAN REPUBLIK INDONESIA,KEJAKSAAN TINGGI JAWA TENGAH,JAKSA FUNGSIONAL,31 Desember 2019,Periodik,-43000000
267,267,RADEN RORO SITI ASTUTI,KEMENTERIAN PERTANIAN,BADAN PENYULUHAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA PERTANIAN,PEJABAT PEMBUAT KOMITMEN,31 Desember 2019,"Khusus, Akhir Menjabat",180778702
268,268,WISNU INDARTO,BADAN PEMERIKSA KEUANGAN (BPK-RI),BADAN PEMERIKSA KEUANGAN (BPK-RI) PERWAKILAN PROVINSI JAWA BARAT,PEMERIKSA MUDA,31 Desember 2019,Periodik,5211465832
269,269,HASTIONO ADI PRANOTO,BADAN PEMERIKSA KEUANGAN (BPK-RI),AUDITORAT UTAMA KEUANGAN NEGARA VII,PEMERIKSA MADYA,31 Desember 2019,Periodik,904138698
270,270,ALISE KURNIARINI FADLILA,BANK INDONESIA (BI),BANK INDONESIA,---,31 Desember 2019,Periodik,127951031
271,271,ANDAYANI KUMALADEWI,BANK INDONESIA (BI),DEPARTEMEN PENGELOLAAN MONETER,DEALER,31 Desember 2019,Periodik,873365737
272,272,RUDI ANANTA WIJAYA,MAHKAMAH AGUNG,PENGADILAN TINGGI PEKANBARU,KETUA,31 Desember 2019,Periodik,1763133605
273,273,ENDAH SUMARTINI,PEMERINTAH DAERAH D.I. YOGYAKARTA,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",KEPALA SUB BAGIAN TATA USAHA,31 Desember 2019,"Khusus, Awal Menjabat",1296860934
274,274,SINGGIH NURCAHYA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,DIREKTORAT JENDERAL SUMBER DAYA AIR,KEPALA SATUAN KERJA,31 Desember 2019,Periodik,751910407
275,275,AMALA MORENTI,BADAN PEMERIKSA KEUANGAN (BPK-RI),AUDITORAT UTAMA KEUANGAN NEGARA II,PEMERIKSA MADYA,31 Desember 2019,Periodik,731485968
276,276,TEJO PURNOMO,PEMERINTAH DAERAH D.I. YOGYAKARTA,BIRO UMUM HUBUNGAN MASYARAKAT DAN PROTOKOL,KEPALA BAGIAN,31 Desember 2019,"Khusus, Akhir Menjabat",1096101603
277,277,TITO ASUNG KUMORO WICAKSONO,PEMERINTAH DAERAH D.I. YOGYAKARTA,"DINAS PEKERJAAN UMUM, PERUMAHAN DAN ENERGI SUMBER DAYA MINERAL",KEPALA SEKSI PENGEMBANGAN DAN REHABILITASI SARANA PRASARANA SUMBER DAYA AIR DAN DRAINASE,31 Desember 2019,Periodik,6282165536
278,278,CAHYA WIDI,PT BANK BPD DIY,WAKIL PIMPINAN,DIREKTUR UMUM,31 Desember 2019,Periodik,10983747227
279,279,KRISNADI SETYAWAN,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI GERINDRA,ANGGOTA DPRD,31 Desember 2019,Periodik,5400000
280,280,RIFKI LISTIANTO,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI AMANAT NASIONAL,ANGGOTA DPRD,31 Desember 2019,Periodik,369815900
281,281,RIZMAH NURCHASANAH,BANK INDONESIA (BI),DEPARTEMEN SUMBER DAYA MANUSIA,ANALIS,31 Desember 2019,Periodik,7873681895
282,282,EFI SUMARLININGSIH,"KEMENTERIAN DESA, PEMBANGUNAN DAERAH TERTINGGAL DAN TRANSMIGRASI","BADAN PENELITIAN DAN PENGEMBANGAN, PENDIDIKAN DAN PELATIHAN, DAN INFORMASI",KEPALA SEKSI PELATIHAN MASYARAKAT DESA,31 Desember 2019,Periodik,1266000000
283,283,OKTIANA DWI ASTUTI,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),BALAI BESAR POM YOGYAKARTA,PENYIDIK PEGAWAI NEGERI SIPIL,31 Desember 2019,Periodik,356451748
284,284,RIEFQI HANIEF,BADAN PEMERIKSA KEUANGAN (BPK-RI),AUDITORAT UTAMA KEUANGAN NEGARA VII,PEMERIKSA PERTAMA,31 Desember 2019,Periodik,1644324631
285,285,R. KRISMA EKA PUTRA,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI GERINDRA,ANGGOTA DPRD,31 Desember 2019,Periodik,14250000
286,286,ANASTASIA NOVYC VERNANDA,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),"DEPUTI BIDANG PENGAWASAN OBAT TRADISIONAL, SUPLEMEN KESEHATAN, DAN KOSMETIK",PENGAWAS FARMASI DAN MAKANAN,31 Desember 2019,Periodik,100000000
287,287,NOVIERA SARASATI,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),BALAI BESAR POM YOGYAKARTA,PEJABAT PENGUJI SURAT PERINTAH MEMBAYAR,31 Desember 2019,Periodik,365097827
288,288,ESTI SASANTI,OTORITAS JASA KEUANGAN (OJK),DEPUTI KOMISIONER PENGAWAS PERBANKAN III,DEPUTI DIREKTUR - DIREKTORAT PENGAWASAN BANK 1,31 Desember 2019,Periodik,2682500000
289,289,NIZAR ABDILLAH MUFTI,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PENGELOLAAN PEMBIAYAAN DAN RISIKO,PELAKSANA,31 Desember 2019,Periodik,125064958
290,290,DANANG WAHYU BROTO,DEWAN PERWAKILAN RAKYAT DAERAH D.I. YOGYAKARTA,FRAKSI PARTAI GERINDRA,ANGGOTA DPRD,31 Desember 2019,"Khusus, Awal Menjabat",4241201782
291,291,MINATI GAYUH LUHURI,PEMERINTAH PROVINSI DKI JAKARTA,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,PELAKSANA,31 Desember 2019,Periodik,1322009656
292,292,M. NUR RACHMAT,PT ASDP INDONESIA FERRY (PERSERO),DIREKTORAT KOMERSIAL,MANAGER PENYEBERANGAN KOMERSIAL,31 Desember 2019,Periodik,-75000000
293,293,SRI PRASWIJANTI,KEMENTERIAN RISET DAN TEKNOLOGI / BADAN RISET DAN INOVASI NASIONAL,UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN YOGYAKARTA,KEPALA BAGIAN TATA USAHA FAKULTAS,31 Desember 2019,Periodik,426376088
294,294,LAURENTIUS ERNAWAN EDY HARTANTO,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,KEPALA SUBBAGIAN TATA USAHA,31 Desember 2019,Periodik,301016490
295,295,MENIK NILAWATI,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS LINGKUNGAN HIDUP DAN KEHUTANAN,KEPALA BIDANG,31 Desember 2019,Periodik,4797888066
296,296,RIRIN HERINI EVILISTYANI,PEMERINTAH DAERAH D.I. YOGYAKARTA,BADAN PERENCANAAN PEMBANGUNAN DAERAH,KEPALA SEKSI DATA DAN STATISTIK,31 Desember 2019,Periodik,243613944
297,297,IDA KUSWATI,PEMERINTAH KABUPATEN BANTUL,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU,BENDAHARA,31 Desember 2019,Periodik,198000000
298,298,HARI KUSUMA SETIA NEGARA,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KEPALA SEKSI PENYIDIKAN II,31 Desember 2019,Periodik,1764087413
299,299,AGUS PURWANTO,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,DIREKTORAT JENDERAL PENDIDIKAN DASAR DAN MENENGAH,PANITIA PENGADAAN BARANG DAN JASA,31 Desember 2019,Periodik,710100000
300,300,PADMONO ANGGORO PRASETYO,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS KEBUDAYAAN,KEPALA SEKSI BAHASA DAN SASTRA,31 Desember 2019,Periodik,562432000
301,301,RYANTO TRI NOEGROHO,PEMERINTAH KOTA YOGYAKARTA,KECAMATAN,CAMAT,31 Desember 2019,Periodik,40000000
302,302,NOVI RIADHI,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,PEMERIKSA PAJAK,31 Desember 2019,Periodik,3112759418
303,303,SRI MURYUWANTINI,PEMERINTAH KABUPATEN BANTUL,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU,KEPALA DINAS,31 Desember 2019,Periodik,522735564
304,304,ROMADHANI BAYU KUSUMA,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,BENDAHARA,31 Desember 2019,Periodik,162471604
305,305,IDE WINARSWASEPTA ENDARMOYO,PEMERINTAH KOTA YOGYAKARTA,INSPEKTORAT DAERAH,AUDITOR PERTAMA,31 Desember 2019,Periodik,4902265076
306,306,ILHAM WICAKSONO,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,PEMERIKSA PAJAK,31 Desember 2019,Periodik,629250000
307,307,CHRISTINA CANDRASARI INDRIATMO,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,ACCOUNT REPRESENTATIVE,31 Desember 2019,Periodik,-268249551
308,308,RR GARNETTA MUSTIKANINGRUM,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),BALAI BESAR POM DKI JAKARTA,PENGAWAS FARMASI DAN MAKANAN,31 Desember 2019,Periodik,178098825
309,309,NAWAN DJUHATMOKO,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,KEPALA SEKSI SARANA MEDIK,31 Desember 2019,Periodik,1089940857
310,310,CHRESTINA ERNI WIDYASTUTI,PEMERINTAH DAERAH D.I. YOGYAKARTA,BADAN PERENCANAAN PEMBANGUNAN DAERAH,KEPALA BIDANG,31 Desember 2019,Periodik,216434733
311,311,"WIKAN KANUGROHO,",PEMERINTAH KOTA MAGELANG,"DINAS KOMUNIKASI, INFORMATIKA DAN STATISTIK",KEPALA BIDANG,31 Desember 2019,"Khusus, Akhir Menjabat",607500000
312,312,MEITY IRIANI SRI MARBYAN TARTININGTYAS,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PERBENDAHARAAN,PEJABAT PEMBUAT KOMITMEN (PPK) PADA KPPN LUBUK SIKAPING,31 Desember 2019,Periodik,514000000
313,313,ISROWIYAH,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH D.I. YOGYAKARTA,KEPALA KEPOLISIAN SEKTOR KRATON POLRESTA,31 Desember 2019,Periodik,-69500000
314,314,NANANG KRISTANTO,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,SEKRETARIAT JENDERAL DEWAN ENERGI NASIONAL,KEPALA SUBBAGIAN PEMANTAUAN PELAKSANAAN RENCANA UMUM ENERGI NASIONAL,31 Desember 2019,Periodik,822361000
315,315,BAGAS RAEDIANTO,OTORITAS JASA KEUANGAN (OJK),DEPUTI KOMISIONER PENGAWAS PERBANKAN I,STAF - DIREKTORAT PENGAWASAN BANK SYARIAH,31 Desember 2019,Periodik,405211952
316,316,MUHAMMAD DAHLAN SALEH,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KEPALA BAGIAN UMUM,31 Desember 2019,Periodik,3897658012
317,317,EDUWARD,BADAN PEMERIKSA KEUANGAN (BPK-RI),BADAN PEMERIKSA KEUANGAN (BPK-RI) PERWAKILAN PROVINSI JAWA TIMUR,PEMERIKSA MUDA,31 Desember 2019,Periodik,2768817862
318,318,ADI PURWANTO AR,KEMENTERIAN RISET DAN TEKNOLOGI / BADAN RISET DAN INOVASI NASIONAL,UNIVERSITAS BANGKA BELITUNG,KEPALA SUBBAGIAN HUKUM DAN TATA LAKSANA BPKKU,31 Desember 2019,Periodik,270774000
319,319,HENI KARTIKAWATI,KEMENTERIAN KEUANGAN,BADAN PENDIDIKAN DAN PELATIHAN KEUANGAN,KEPALA PUSAT PENDIDIKAN DAN PELATIHAN KEUANGAN UMUM,31 Desember 2019,Periodik,3897658012
320,320,HENDRA AHMAD FIRDAUS,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN UDARA,INSPEKTUR NAVIGASI PENERBANGAN LEVEL IV,31 Desember 2019,Periodik,1106800000
321,321,MUHAMAD IQBAL FELANI,PT PERUSAHAAN LISTRIK NEGARA (PERSERO),PUSLITBANG,MSB SDM,31 Desember 2019,Periodik,1560267792
322,322,MONIKA NUR LASTIYANI,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS PERPUSTAKAAN DAN ARSIP DAERAH,KEPALA BADAN,31 Desember 2019,Periodik,1533510945
323,323,HAMENGKU BUWONO X,PEMERINTAH DAERAH D.I. YOGYAKARTA,PIMPINAN TERTINGGI,GUBERNUR,31 Desember 2019,Periodik,22408661384
324,324,LAKSANA JATI JAYA,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS LINGKUNGAN HIDUP DAN KEHUTANAN,KEPALA SEKSI PEMANFAATAN,31 Desember 2019,Periodik,710560025
325,325,IRVAN MAWARDI,MAHKAMAH AGUNG,PENGADILAN TINGGI TATA USAHA NEGARA MEDAN,HAKIM,31 Desember 2019,Periodik,764000000
326,326,YOPIE WIRAWAN ADIBRATA,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,PEMERIKSA PAJAK,31 Desember 2019,Periodik,2185202021
327,327,ALDISE DYAN RINI SYARIFA,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN (BPKP),PERWAKILAN BPKP PROVINSI NUSA TENGGARA BARAT,AUDITOR PERTAMA,31 Desember 2019,Periodik,104872141
328,328,LAILY FITRIA TITIN ANUGRAHWATI,MAHKAMAH AGUNG,PENGADILAN TINGGI YOGYAKARTA,HAKIM,31 Desember 2019,Periodik,744650000
329,329,RIDIAN JUNATA,PT PERUSAHAAN GAS NEGARA TBK,PT PERUSAHAAN GAS NEGARA TBK,SR. ANALYST,31 Desember 2019,Periodik,2016218997
330,330,SUPRIHATIN,PEMERINTAH DAERAH D.I. YOGYAKARTA,BIRO BINA MENTAL SPIRITUAL,KEPALA SUB BAGIAN ANALIS KEBIJAKAN PELAYANAN KESEHATAN,31 Desember 2019,Periodik,33002625
331,331,ASTI WIJAYANTI,PEMERINTAH KABUPATEN GUNUNG KIDUL,DINAS PARIWISATA,KEPALA DINAS PARIWISATA,31 Desember 2019,Periodik,426512549
332,332,GUSTI KANJENG RATU HEMAS,DEWAN PERWAKILAN DAERAH (DPD),PERWAKILAN PROVINSI D.I. YOGYAKARTA,ANGGOTA DPD RI,31 Desember 2019,Periodik,17693437903
333,333,SUDARINTO,MAHKAMAH AGUNG,PENGADILAN TINGGI AGAMA YOGYAKARTA,SEKRETARIS,31 Desember 2019,Periodik,776600000
334,334,YUSTINUS KELIEK MULYONO,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI DEMOKRASI INDONESIA PERJUANGAN,ANGGOTA DPRD,31 Desember 2019,Periodik,-134709447
335,335,IKA HARTANTI,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS PERTANIAN DAN KETAHANAN PANGAN,KEPALA BIDANG,31 Desember 2019,Periodik,480545290
336,336,MARIA DANASTRI,KOMISI PEMBERANTASAN KORUPSI (KPK),DEPUTI BIDANG PENCEGAHAN DAN MONITORING,SPESIALIS MUDA 2,31 Desember 2019,Periodik,315599312
337,337,SIGIT WICAKSONO,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI NASIONAL DEMOKRAT,ANGGOTA DPRD,31 Desember 2019,Periodik,72586160
338,338,TANTRI AMBARSARI,PEMERINTAH PROVINSI JAWA TENGAH,DINAS PENDIDIKAN DAN KEBUDAYAAN,KEPALA SMA NEGERI 1 BAYAT,31 Desember 2019,Periodik,1802844443
339,339,HANUNG INDARTO,MAHKAMAH AGUNG,PENGADILAN TINGGI YOGYAKARTA,PANITERA PENGGANTI,31 Desember 2019,Periodik,853206196
340,340,KARINA DISTA YULISTYA,BADAN PEMERIKSA KEUANGAN (BPK-RI),BADAN PEMERIKSA KEUANGAN (BPK-RI) PERWAKILAN PROVINSI SUMATERA SELATAN,PEMERIKSA PERTAMA,31 Desember 2019,Periodik,87221974
341,341,EVIE FRIDINA SUSAN,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN (BPKP),PERWAKILAN BPKP PROVINSI DAERAH ISTIMEWA YOGYAKARTA,AUDITOR MUDA,31 Desember 2019,Periodik,130713872
342,342,MARIA EVI RATNAWATI,BADAN KEPENDUDUKAN DAN KELUARGA BERENCANA NASIONAL (BKKBN),DEPUTI BIDANG KELUARGA SEJAHTERA DAN PEMBERDAYAAN KELUARGA,DIREKTUR BINA KELUARGA BALITA DAN ANAK,31 Desember 2019,Periodik,1703117953
343,343,ASDO ARTRIVIYANTO,PT KERETA API INDONESIA (PERSERO),COMMERCE DIRECTORATE,CORPORATE DEPUTY DIRECTOR OF PASSENGER TRANSPORT MARKETING AND SALES,31 Desember 2019,Periodik,37321592
344,344,RETNO DYAH PARWITASARI,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,ANGGOTA SATUAN PENGAWAS INTERNAL,31 Desember 2019,Periodik,1882877488
345,345,IMAM SUTOPO,KEJAKSAAN REPUBLIK INDONESIA,KEJAKSAAN TINGGI MALUKU UTARA,KOORDINATOR,31 Desember 2019,Periodik,1206000000
346,346,RAHMAT SETYAJI,BADAN PEMERIKSA KEUANGAN (BPK-RI),BADAN PEMERIKSA KEUANGAN (BPK-RI) PERWAKILAN PROVINSI JAWA TIMUR,PEMERIKSA PERTAMA,31 Desember 2019,Periodik,159011809
347,347,RM. KRISTIYADI,LEMBAGA PENYIARAN PUBLIK TELEVISI REPUBLIK INDONESIA,TVRI STASIUN D.I. YOGYAKARTA,KEPALA SEKSI PROGRAM,31 Desember 2018,"Khusus, Awal Menjabat",346500000
348,348,MAYA HENNY HITIJAHUBESSY,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH BANTEN,KAYANMA,31 Desember 2018,"Khusus, Awal Menjabat",763000000
349,349,MEDDY YOGASTORO,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN UDARA,FLIGHT OPERATION INSPECTOR (FOI) LEVEL V,31 Desember 2018,"Khusus, Calon PN",864000000
350,350,MEILINA ARI ARTINI,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,DIREKTORAT JENDERAL SUMBER DAYA AIR,POKJA PENGADAAN BARANG/ JASA,31 Desember 2018,"Khusus, Awal Menjabat",-45100000
351,351,DWI ASTUTI,BADAN PENGAWAS PEMILIHAN UMUM,BADAN PENGAWAS PEMILIHAN UMUM PROVINSI KEPULAUAN BANGKA BELITUNG,BENDAHARA PEMBANTU,30 Maret 2018,"Khusus, Calon PN",162500000
352,352,KUJI MURTININGRUM,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,DIREKTORAT JENDERAL SUMBER DAYA AIR,KEPALA SATUAN KERJA,31 Desember 2018,Periodik,355000000
353,353,ARIYANTI LUHUR TRI SETYARINI,PEMERINTAH DAERAH D.I. YOGYAKARTA,SEKRETARIAT PARAMPARA PRAJA,SEKRETARIS,31 Desember 2018,Periodik,152724893
354,354,LAKSMI HAYU PAWERTI,KEJAKSAAN REPUBLIK INDONESIA,KEJAKSAAN TINGGI JAWA TENGAH,JAKSA FUNGSIONAL,31 Desember 2018,Periodik,-75100000
355,355,EDY HERI SUASANA,PEMERINTAH KOTA YOGYAKARTA,DINAS PEMUDA DAN OLAH RAGA,KEPALA DINAS,31 Desember 2018,Periodik,1354067989
356,356,LAILY FITRIA TITIN ANUGRAHWATI,MAHKAMAH AGUNG,PENGADILAN TINGGI YOGYAKARTA,HAKIM,31 Desember 2018,Periodik,749419801
357,357,SUSAN ANANTI,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,KEPALA SUBBAGIAN EVALUASI DAN PELAPORAN,31 Desember 2018,Periodik,1689598542
358,358,MOCHAMAD HERY SALUGU,"KEMENTERIAN DESA, PEMBANGUNAN DAERAH TERTINGGAL DAN TRANSMIGRASI","BADAN PENELITIAN DAN PENGEMBANGAN, PENDIDIKAN DAN PELATIHAN, DAN INFORMASI",KEPALA BIDANG PENYELENGGARAAN,31 Desember 2018,"Khusus, Awal Menjabat",129353821
359,359,ELLA GUNADIA RATNA DEWI,KEJAKSAAN REPUBLIK INDONESIA,KEJAKSAAN TINGGI D.I. YOGYAKARTA,JAKSA FUNGSIONAL,31 Desember 2018,Periodik,102045000
360,360,RADEN HENDRI GUSAPTONO,KEMENTERIAN RISET DAN TEKNOLOGI / BADAN RISET DAN INOVASI NASIONAL,UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN YOGYAKARTA,KEPALA PUSAT KULIAH KERJA NYATA DAN TEKNOLOGI TEPAT GUNA,31 Desember 2018,Periodik,1600800000
361,361,FREDDY ROESTHODY HENDRAWAN,KEJAKSAAN REPUBLIK INDONESIA,KEJAKSAAN TINGGI D.I. YOGYAKARTA,JAKSA FUNGSIONAL,31 Desember 2018,Periodik,-11300000
362,362,DESIWANTI ASTUTI,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KEPALA SEKSI SEKSI PEMERIKSAAN,14 Desember 2018,"Khusus, Awal Menjabat",456884881
363,363,SUDARINTO,MAHKAMAH AGUNG,PENGADILAN TINGGI AGAMA YOGYAKARTA,SEKRETARIS,31 Desember 2018,Periodik,531271000
364,364,ELFIENTERIA MARALYN SINLAELOE,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,DIREKTORAT JENDERAL PENDIDIKAN ANAK USIA DINI DAN PENDIDIKAN MASYARAKAT,BENDAHARA PENGELUARAN PEMBANTU,20 Maret 2019,"Khusus, Awal Menjabat",454500000
365,365,RR GARNETTA MUSTIKANINGRUM,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),BALAI BESAR POM DKI JAKARTA,PEJABAT FUNGSIONAL PENGAWAS FARMASI DAN MAKANAN MADYA,15 Maret 2019,"Khusus, Awal Menjabat",177000000
366,366,KARINA DISTA YULISTYA,BADAN PEMERIKSA KEUANGAN (BPK-RI),BADAN PEMERIKSA KEUANGAN (BPK-RI) PERWAKILAN PROVINSI SUMATERA SELATAN,PEMERIKSA PERTAMA,11 September 2019,"Khusus, Awal Menjabat",184519360
367,367,HENDRA AHMAD FIRDAUS,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN UDARA,INSPEKTUR NAVIGASI PENERBANGAN LEVEL IV,31 Maret 2019,"Khusus, Awal Menjabat",1310000000
368,368,NUR MUSLIMAH,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH D.I. YOGYAKARTA,KEPALA SEKSI KEUANGAN POLRES (KASIKEU),31 Desember 2018,Periodik,602269666
369,369,ANASTASIA NOVYC VERNANDA,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),"DEPUTI BIDANG PENGAWASAN OBAT TRADISIONAL, SUPLEMEN KESEHATAN, DAN KOSMETIK",PENGAWAS FARMASI DAN MAKANAN,31 Desember 2018,"Khusus, Awal Menjabat",50000000
370,370,HANDIKO WIDIYANTO,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH D.I. YOGYAKARTA,KAPOLSEK MOYUDAN,31 Desember 2018,Periodik,463500000
371,371,EFI SUMARLININGSIH,"KEMENTERIAN DESA, PEMBANGUNAN DAERAH TERTINGGAL DAN TRANSMIGRASI","BADAN PENELITIAN DAN PENGEMBANGAN, PENDIDIKAN DAN PELATIHAN, DAN INFORMASI","KEPALA SEKSI PELATIHAN MASYARAKAT DAERAH TERTINGGAL, DAERAH TERTENTU DAN TRANSMIGRASI",31 Desember 2018,"Khusus, Awal Menjabat",1083000000
